#{"t_start": 1772874617.7311068, "env_id": "None"}
r,l,t
33.750002,47,62.95611
28.100002,47,62.997804
36.350002,47,63.047425
4.172701,47,63.090123
32.950002,47,63.130658
30.600002,47,63.172053
28.754363,47,63.215062
40.250002,47,63.257038
26.100002,47,63.299201
12.953924,47,63.339967
30.600002,47,63.380942
30.750002,47,63.428142
36.850002,47,63.46914
27.138225,47,63.509734
33.300002,47,63.550657
31.250002,47,63.591442
35.300002,47,63.632969
31.200001,47,63.67622
22.750002,47,63.718534
29.250002,47,63.760158
36.200002,47,63.803617
35.500002,47,63.845853
34.150002,47,63.886516
24.15962,47,63.927228
37.100002,47,63.968489
28.600002,47,64.01728
1.251419,47,64.069486
28.800002,47,64.124259
34.150002,47,64.172492
30.538225,47,64.224111
32.300002,47,64.271989
38.900002,47,64.319589
38.850002,47,64.367454
40.250002,47,64.421294
30.700002,47,65.668886
40.000002,47,65.710037
37.4915,47,65.75112
42.700002,47,65.794736
34.550002,47,65.836163
39.350002,47,65.877141
4.247142,47,65.918324
37.100002,47,65.959335
36.900002,47,66.001072
28.637323,47,66.042755
35.400002,47,66.084146
36.200002,47,66.125028
38.400002,47,66.177039
36.700002,47,66.220785
34.850002,47,66.262548
36.200002,47,66.303991
41.270129,47,66.344901
37.808806,47,66.386436
32.391491,47,66.434881
34.401408,47,66.476031
35.550002,47,66.516562
39.150002,47,66.557737
39.100002,47,66.59902
37.300002,47,66.640174
40.65422,47,66.682845
41.150002,47,66.725114
39.300002,47,66.76649
36.600002,47,66.809635
33.950002,47,66.850821
36.650002,47,66.89191
38.550002,47,66.933485
36.850002,47,66.974331
27.044356,47,67.014911
9.999001,47,67.059789
39.750002,47,67.10905
37.568262,47,67.157147
41.800002,47,67.220046
43.600002,47,67.268532
40.650002,47,67.31355
38.400002,47,67.355126
37.950002,47,67.398335
40.000002,47,67.444877
35.200002,47,67.485074
37.750002,47,67.525453
16.681647,47,68.78408
37.800002,47,68.825472
43.350002,47,68.866722
36.400002,47,68.909235
1.96141,47,68.949778
9.161876,47,68.990602
42.000002,47,69.03398
36.150002,47,69.076753
12.810889,47,69.118219
42.900002,47,69.159194
33.900002,47,69.2098
36.850002,47,69.251911
39.300002,47,69.303355
35.902681,47,69.345719
11.60779,47,69.389608
36.650002,47,69.436324
40.578616,47,69.476831
43.800002,47,69.517761
10.298171,47,69.559018
30.933433,47,69.59945
41.311357,47,69.63967
35.451209,47,69.681851
40.450002,47,69.722534
43.350002,47,69.763251
44.050002,47,69.80446
39.550002,47,69.845421
34.350002,47,69.885864
36.850002,47,69.928043
42.900002,47,69.969548
41.100002,47,70.017962
40.679036,47,70.066499
-13.951507,47,70.111794
40.200002,47,70.152035
35.300002,47,70.192695
40.650002,47,70.23533
40.238814,47,70.275828
40.207848,47,70.32416
38.400002,47,70.366659
33.672905,47,70.409923
37.300002,47,70.453188
45.150002,47,70.592597
43.800002,47,70.732517
39.550002,47,70.823394
44.974336,47,72.159504
38.200002,47,72.208107
38.433154,47,72.257988
-4.58684,47,72.326037
42.450002,47,72.395669
40.450002,47,72.473447
35.750002,47,72.535866
37.750002,47,72.594583
42.000002,47,72.655089
35.950002,47,72.707565
38.650002,47,72.755112
43.365569,47,72.804744
40.650002,47,72.852837
38.100002,47,72.900584
25.178568,47,72.950847
44.091354,47,72.999186
38.450002,47,73.047128
41.100002,47,73.105818
47.850002,47,73.164696
40.900002,47,73.224953
39.750002,47,73.287386
31.785333,47,73.347719
41.550002,47,73.4065
46.050002,47,73.463354
41.550002,47,73.521176
-0.05729,47,73.573662
44.700002,47,73.621602
35.750002,47,73.669652
26.101428,47,73.72576
26.977179,47,73.774694
39.350002,47,73.825545
41.100002,47,73.873151
41.800002,47,73.931174
-2.426701,47,73.982104
38.850002,47,74.033068
37.350002,47,74.086983
38.400002,47,74.143491
40.900002,47,74.19721
39.800002,47,74.248285
46.300002,47,74.305473
33.888225,47,74.359085
39.100002,47,74.410222
40.900002,47,74.464551
39.100002,47,74.513077
37.050002,47,76.231898
37.050002,47,76.284366
32.642066,47,76.33143
44.050002,47,76.383255
42.000002,47,76.440588
42.900002,47,76.493163
37.100002,47,76.545281
40.900002,47,76.597346
40.700002,47,76.654154
38.450002,47,76.70753
34.600002,47,76.771323
31.426471,47,76.832851
35.700002,47,76.882416
31.500002,47,76.928906
40.200002,47,76.978007
39.750002,47,77.023363
40.200002,47,77.065906
40.000002,47,77.107535
41.550002,47,77.149282
36.600002,47,77.190952
41.100002,47,77.237468
41.400002,47,77.281444
42.000002,47,77.322692
39.750002,47,77.376813
8.814684,47,77.426819
42.900002,47,77.471236
44.250002,47,77.522693
34.650002,47,77.566699
40.650002,47,77.610586
36.600002,47,77.654858
38.200002,47,77.696472
39.100002,47,77.739996
36.600002,47,77.784199
40.650002,47,77.832246
41.550002,47,77.877826
41.550002,47,77.921195
37.750002,47,77.972491
42.000002,47,78.021385
38.000002,47,78.070072
43.350002,47,78.11818
38.900002,47,78.166313
38.650002,47,78.214756
40.200002,47,78.265768
45.600002,47,78.313811
43.800002,47,79.650836
30.441132,47,79.693514
41.100002,47,79.736009
37.300002,47,79.785351
4.188295,47,79.828231
42.450002,47,79.869415
42.450002,47,79.918124
15.363497,47,79.968222
40.200002,47,80.011348
42.250002,47,80.054624
42.250002,47,80.096232
37.750002,47,80.137224
39.550002,47,80.179141
41.100002,47,80.221183
34.600002,47,80.264939
42.555266,47,80.306082
39.300002,47,80.348796
46.050002,47,80.390054
42.900002,47,80.437352
42.000002,47,80.478109
42.450002,47,80.519806
40.200002,47,80.561687
40.450002,47,80.602895
42.450002,47,80.644689
43.350002,47,80.6861
24.965484,47,80.727211
40.200002,47,80.770564
12.896656,47,80.813132
42.000002,47,80.853616
39.750002,47,80.894768
17.168919,47,80.93678
38.650002,47,80.98785
43.800002,47,81.029032
39.750002,47,81.070993
39.113269,47,81.112218
39.100002,47,81.155311
36.850002,47,81.198174
38.850002,47,81.241059
40.000002,47,81.283435
42.700002,47,81.324664
36.850002,47,81.366213
37.300002,47,81.410993
25.146769,47,81.454501
25.514222,47,82.672772
38.200002,47,82.713743
41.100002,47,82.755893
41.800002,47,82.802075
38.850002,47,82.844107
42.450002,47,82.885894
39.100002,47,82.929033
43.800002,47,82.969887
40.200002,47,83.011746
44.500002,47,83.063132
43.800002,47,83.110712
35.231788,47,83.157143
34.657627,47,83.198717
38.200002,47,83.240659
37.950002,47,83.282498
43.150002,47,83.322879
28.940844,47,83.364496
37.913272,47,83.411988
42.900002,47,83.452135
35.750002,47,83.49194
46.050002,47,83.532258
42.000002,47,83.576932
43.350002,47,83.618536
40.200002,47,83.658783
37.750002,47,83.699762
45.150002,47,83.741151
36.150002,47,83.786066
42.900002,47,83.827791
4.289289,47,83.868414
43.350002,47,83.912176
41.100002,47,83.954113
43.350002,47,83.995678
32.1032,47,84.036706
41.550002,47,84.08718
35.500002,47,84.1283
40.650002,47,84.168967
38.200002,47,84.209803
44.250002,47,84.251042
41.100002,47,84.292966
38.100002,47,84.334076
45.93276,47,84.375314
41.100002,47,84.420917
40.489026,47,84.461729
40.200002,47,84.502405
39.300002,47,85.722374
41.426608,47,85.764841
40.200002,47,85.808413
47.400002,47,85.848941
41.550002,47,85.889359
36.600002,47,85.931769
42.000002,47,85.974219
43.800002,47,86.015466
38.400002,47,86.057398
39.300002,47,86.098517
41.550002,47,86.143142
44.050002,47,86.191679
43.350002,47,86.235154
41.800155,47,86.278117
42.450002,47,86.320385
41.550002,47,86.362109
37.950002,47,86.405323
41.350002,47,86.450546
36.850002,47,86.491479
43.800002,47,86.533077
44.250002,47,86.574528
44.700002,47,86.616051
43.800002,47,86.657527
43.800002,47,86.69909
48.300002,47,86.740321
40.900002,47,86.782485
40.000002,47,86.825387
41.100002,47,86.8664
41.100002,47,86.923541
40.200002,47,86.982488
41.550002,47,87.038404
40.900002,47,87.090444
42.000002,47,87.140485
40.000002,47,87.203049
42.000002,47,87.26029
44.950002,47,87.315734
39.100002,47,87.368529
37.128672,47,87.420858
41.550002,47,87.474132
37.100002,47,87.525911
44.250002,47,87.574783
39.300002,47,87.623508
46.050002,47,87.671309
41.150002,47,89.564802
44.250002,47,89.613648
42.900002,47,89.680283
40.650002,47,89.7298
41.249698,47,89.777919
44.700002,47,89.828907
40.650002,47,89.879078
30.725703,47,89.927773
43.786865,47,89.97586
40.450002,47,90.036195
43.350002,47,90.092141
23.327052,47,90.140005
48.750002,47,90.187768
48.300002,47,90.236169
25.391659,47,90.283301
47.850002,47,90.333483
36.947479,47,90.380481
35.833047,47,90.434163
46.750002,47,90.484527
45.150002,47,90.534295
43.350002,47,90.585304
29.169176,47,90.634137
45.600002,47,90.688297
44.050002,47,90.743378
45.150002,47,90.800333
42.000002,47,90.850449
47.400002,47,90.90293
30.097961,47,90.950983
42.000002,47,91.002529
44.500002,47,91.057313
46.637028,47,91.109409
44.700002,47,91.160984
40.046277,47,91.21272
45.600002,47,91.268686
45.600002,47,91.321829
43.350002,47,91.374171
43.350002,47,91.42895
42.250002,47,91.478125
46.561074,47,91.517827
38.266863,47,91.55787
37.008083,47,91.603482
39.213779,47,91.648276
46.050002,47,91.688815
31.358287,47,91.729194
45.400002,47,92.942298
44.700002,47,92.985436
42.147614,47,93.025924
44.700002,47,93.071701
43.350002,47,93.113441
46.050002,47,93.154336
42.266207,47,93.195914
45.150002,47,93.238389
43.350002,47,93.279728
46.500002,47,93.322182
39.704462,47,93.363554
24.499126,47,93.40687
40.200002,47,93.451568
45.600002,47,93.493134
44.250002,47,93.53368
44.700002,47,93.57355
45.600002,47,93.614251
43.972574,47,93.654751
46.050002,47,93.706393
46.050002,47,93.749478
44.250002,47,93.791301
39.818341,47,93.831788
34.053247,47,93.872983
40.165606,47,93.914358
46.050002,47,93.962116
45.600002,47,94.005754
45.150002,47,94.048566
40.200002,47,94.091699
40.4862,47,94.13238
41.100002,47,94.174313
44.293846,47,94.215148
46.500002,47,94.257409
41.611479,47,94.298586
47.850002,47,94.340671
48.300002,47,94.381473
44.700002,47,94.428191
32.836862,47,94.468872
45.916601,47,94.509264
44.700002,47,94.549712
46.500002,47,94.589747
